meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,4,4,2.87,4,4,4,4,4,4,4.6,4.6,4.6,4.6,4.6,4.6,ChangeInsulationRValueForExteriorWalls,r_value,9.22,5.37,4,6.4,4.95,6.4,9.95,8.7,9.58,10.89,10.89,14.09,12.59,15.96,20.88,ChangeInsulationRValueForExteriorWalls,r_value,9.22,5.37,2.87,6.4,4.95,6.4,9.95,8.7,9.58,10.89,10.89,14.09,12.59,15.96,20.88,3
ChangeInsulationRValueForRoofs,r_value_roof,9.22,9.22,9.22,9.22,9.22,9.22,10.6,10.47,10.1,10.1,10.1,10.1,10.1,10.1,10.1,ChangeInsulationRValueForRoofs,r_value_roof,10.6,10.6,10.6,10.6,10.6,10.6,10.86,10.6,10.98,13.11,12.37,21.4,19.65,24.24,31.49,ChangeInsulationRValueForRoofs,r_value_roof,9.22,9.22,9.22,9.22,9.22,9.22,10.86,10.47,10.98,13.11,12.37,21.4,19.65,24.24,31.49,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.6,0.6,0.58,0.58,0.52,0.52,0.52,0.52,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.6,0.72,0.72,0.59,0.59,0.58,0.58,0.58,0.58,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.59,0.72,0.72,0.59,0.59,0.52,0.52,0.52,0.52,2
ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,2
SetGasBurnerEfficiency,eff,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetGasBurnerEfficiency,eff,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,SetGasBurnerEfficiency,eff,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3
ReplaceLightsInSpaceTypeWithLPD,lpd,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,3.336812224,ReplaceLightsInSpaceTypeWithLPD,lpd,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,11.625023232,ReplaceLightsInSpaceTypeWithLPD,lpd,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,6.673624448,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
ChangeFloortoFloorHeightWarehouse,floor_to_floor_height_ip,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,ChangeFloortoFloorHeightWarehouse,floor_to_floor_height_ip,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ChangeFloortoFloorHeightWarehouse,floor_to_floor_height_ip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
